Zaman			Deger
5.06.2023 03:43:26 :            ri:46.89
5.06.2023 03:43:26 :            Kritik Sicaklik Degeri:50.12
5.06.2023 03:43:26 :            Kritik Sicaklik Degeri:46.89
5.06.2023 03:43:27 :            Kritik Sicaklik Degeri:46.89
5.06.2023 03:43:27 :            Kritik Sicaklik Degeri:43.87
5.06.2023 03:43:27 :            Kritik Sicaklik Degeri:43.87
5.06.2023 03:43:27 :            Kritik Sicaklik Degeri:43.87
5.06.2023 03:43:28 :            Kritik Sicaklik Degeri:41.05
5.06.2023 03:43:28 :            Kritik Sicaklik Degeri:43.87
5.06.2023 03:43:28 :            Kritik Sicaklik Degeri:41.05
5.06.2023 03:43:28 :            Kritik Sicaklik Degeri:43.87
5.06.2023 03:43:29 :            Kritik Sicaklik Degeri:41.05
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            Kritik Sicaklik Degeri:41.05
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            Kritik Sicaklik Degeri:41.05
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            Kritik Sicaklik Degeri:41.05
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            Kritik Sicaklik Degeri:41.05
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:29 :            35.79
5.06.2023 03:43:29 :            35.79
5.06.2023 03:43:29 :            38.34
5.06.2023 03:43:30 :            35.79
5.06.2023 03:43:30 :            38.34
5.06.2023 03:43:30 :            Kritik Sicaklik Degeri:41.05
5.06.2023 03:43:30 :            38.34
5.06.2023 03:43:30 :            38.34
5.06.2023 03:43:30 :            38.34
5.06.2023 03:43:30 :            35.79
5.06.2023 03:43:30 :            35.79
5.06.2023 03:43:30 :            35.79
5.06.2023 03:43:30 :            35.79
5.06.2023 03:43:30 :            38.34
5.06.2023 03:43:30 :            35.79
5.06.2023 03:43:30 :            38.34
5.06.2023 03:43:30 :            35.79
5.06.2023 03:43:30 :            38.34
5.06.2023 03:43:30 :            38.34
5.06.2023 03:43:30 :            35.79
5.06.2023 03:43:30 :            38.34
5.06.2023 03:43:30 :            35.79
5.06.2023 03:43:30 :            38.34
5.06.2023 03:43:31 :            38.34
5.06.2023 03:43:31 :            35.79
5.06.2023 03:43:31 :            35.79
5.06.2023 03:43:31 :            38.34
5.06.2023 03:43:31 :            35.79
5.06.2023 03:43:31 :            35.79
5.06.2023 03:43:31 :            35.79
5.06.2023 03:43:31 :            35.79
5.06.2023 03:43:31 :            35.79
5.06.2023 03:43:31 :            38.34
5.06.2023 03:43:31 :            38.34
5.06.2023 03:43:31 :            38.34
5.06.2023 03:43:31 :            35.79
5.06.2023 03:43:31 :            35.79
